User_ID,Country,Continent,Gender,Age,Occupation,Device_Brand,OS_Type,Daily_Screen_Time_Hours,Social_Media_Usage_Hours,Gaming_Hours,Education_Hours,Entertainment_Hours,Sleep_Hours,Battery_Health,Avg_Battery_Drain_Per_Day,Monthly_Data_Usage_GB,WiFi_Usage_GB,App_Notifications_Received,Screen_Unlocks_Per_Day,Physical_Activity_Level,Sleep_Quality,Stress_Level,Productivity_Score,Weekday_Screen_Time_Hours,Weekend_Screen_Time_Hours
U00001,Japan,Asia,Other,62,Student,Huawei,iOS,7.0,1.1,0.5,0.2,3.5,6.8,88.0,31.2,5.9,291.6,462,187,Low,Good,6,59,5.1,8.1
U00002,Germany,Europe,Male,51,Unemployed,Samsung,Android,5.1,2.2,0.9,1.8,0.6,6.3,78.8,21.0,25.5,239.8,153,132,Low,Good,5,40,6.1,4.2
U00003,Australia,Oceania,Other,40,Employee,Samsung,Android,4.9,0.8,2.8,2.9,3.2,7.2,79.1,12.9,35.8,143.2,451,79,High,Poor,2,64,6.0,4.9
U00004,Australia,Oceania,Male,55,Self-employed,Google Pixel,Android,7.6,2.7,0.6,2.9,3.1,5.2,98.2,36.8,31.9,278.1,319,182,Low,Good,5,19,5.8,6.4
U00005,Germany,Europe,Male,35,Self-employed,Samsung,iOS,3.0,1.6,1.6,0.4,3.2,5.9,72.2,39.6,39.8,75.6,278,88,Low,Poor,4,86,8.1,8.9
U00006,Japan,Asia,Male,20,Retired,Huawei,iOS,4.3,1.8,0.2,0.9,1.3,6.5,91.9,29.1,44.9,152.2,429,104,Medium,Average,5,75,6.7,5.7
U00007,Germany,Europe,Male,15,Student,Vivo,Android,6.7,2.6,1.3,0.1,0.4,9.3,70.9,29.1,19.1,162.4,88,115,Low,Average,4,62,5.6,7.7
U00008,Brazil,South America,Other,59,Self-employed,Vivo,Android,9.0,4.2,2.4,1.9,3.5,6.2,94.1,15.6,45.2,171.0,146,194,High,Good,3,22,4.6,6.3
U00009,UK,Europe,Female,47,Self-employed,Apple,Android,5.2,0.5,1.5,1.3,0.9,4.8,73.6,20.1,47.4,110.5,419,183,High,Average,5,61,9.8,7.3
U00010,Germany,Europe,Male,16,Employee,Xiaomi,Android,6.5,1.6,0.1,1.8,2.0,6.9,71.5,18.4,45.9,87.1,355,47,Medium,Poor,1,47,5.9,4.7
U00011,Australia,Oceania,Other,38,Retired,Xiaomi,iOS,8.3,2.0,1.9,1.9,2.1,8.1,72.7,35.1,19.4,72.2,320,62,High,Poor,6,24,6.2,6.0
U00012,Germany,Europe,Male,20,Retired,OnePlus,Android,2.9,3.3,1.2,2.8,0.6,7.1,80.2,13.4,46.6,265.7,284,114,Low,Good,2,81,7.6,4.5
U00013,Brazil,South America,Female,50,Unemployed,OnePlus,Android,6.5,0.9,2.7,2.7,2.5,9.0,80.2,20.5,37.7,271.2,298,126,Low,Average,1,49,6.5,7.7
U00014,Pakistan,Asia,Female,56,Student,OnePlus,Android,4.6,0.5,0.5,1.6,2.8,7.3,89.6,16.7,37.0,86.4,102,200,High,Poor,5,56,8.3,5.4
U00015,Japan,Asia,Male,57,Self-employed,Oppo,Android,7.9,0.9,1.1,0.8,1.0,7.6,99.2,21.8,45.1,196.7,475,146,High,Good,6,55,6.0,9.9
U00016,UK,Europe,Male,18,Employee,Apple,iOS,5.5,1.6,0.1,1.9,0.7,11.1,98.2,38.6,46.2,123.6,155,150,Low,Good,6,47,6.9,6.9
U00017,Canada,North America,Female,38,Unemployed,Huawei,iOS,4.3,1.2,1.7,2.8,2.8,4.7,87.1,12.9,32.7,297.2,461,128,Low,Average,4,74,6.1,4.7
U00018,China,Asia,Other,16,Student,Vivo,Android,6.7,1.9,0.9,2.4,3.2,7.8,96.0,37.4,28.0,160.4,431,128,High,Poor,7,56,7.1,9.3
U00019,Brazil,South America,Other,20,Retired,Samsung,iOS,7.9,2.0,0.3,1.7,0.1,8.0,84.0,26.3,17.9,185.4,259,187,Low,Average,4,44,5.1,9.2
U00020,Germany,Europe,Other,61,Unemployed,Samsung,Android,6.1,3.0,0.3,0.2,2.1,5.4,86.2,29.1,37.7,293.2,325,84,High,Poor,3,57,1.9,7.4
U00021,China,Asia,Male,51,Employee,OnePlus,Android,4.7,0.6,2.9,2.5,2.8,8.3,82.3,15.2,12.0,90.1,296,146,Low,Good,3,61,9.5,7.8
U00022,UK,Europe,Other,35,Self-employed,Vivo,iOS,3.5,2.2,0.7,1.1,3.0,8.4,70.4,13.5,7.1,31.4,430,102,Low,Poor,9,82,6.9,8.5
U00023,Brazil,South America,Female,29,Unemployed,Vivo,iOS,4.1,1.2,1.3,1.2,2.5,6.9,89.1,11.4,21.9,195.2,498,168,Low,Good,1,56,8.3,7.0
U00024,Brazil,South America,Female,40,Retired,Vivo,Android,4.0,0.6,1.8,2.8,2.3,7.7,81.6,29.3,25.6,172.8,96,88,Medium,Poor,5,61,5.7,8.2
U00025,Australia,Oceania,Female,52,Employee,Apple,iOS,6.6,3.9,0.1,2.4,1.1,6.1,73.5,30.9,33.3,265.7,278,45,High,Poor,4,42,7.6,8.3
U00026,UK,Europe,Other,62,Retired,Google Pixel,Android,4.3,4.5,1.2,1.1,3.1,6.2,80.2,37.9,43.6,140.1,120,124,Low,Poor,6,71,7.7,8.6
U00027,Pakistan,Asia,Male,34,Student,Samsung,iOS,8.6,2.1,0.0,2.7,0.4,7.0,79.6,38.5,47.8,180.6,95,131,High,Good,6,28,4.4,11.2
U00028,Brazil,South America,Male,40,Student,Vivo,Android,4.0,3.7,2.4,0.3,2.0,5.2,71.7,26.5,24.9,268.6,399,108,Low,Average,7,75,4.3,6.4
U00029,India,Asia,Male,62,Retired,Huawei,Android,6.8,0.8,2.1,0.2,3.3,6.2,91.2,12.4,8.8,296.3,188,35,Medium,Good,3,48,3.1,4.2
U00030,Brazil,South America,Female,37,Employee,Huawei,iOS,4.6,2.2,2.7,0.3,2.0,6.7,70.3,24.1,7.5,53.3,363,95,Medium,Average,5,77,6.6,5.3
U00031,Australia,Oceania,Other,32,Self-employed,Apple,Android,7.0,1.6,2.6,0.7,3.9,9.3,70.4,39.1,6.9,269.5,281,107,High,Good,4,48,6.4,7.0
U00032,Canada,North America,Male,53,Employee,Vivo,Android,6.2,3.0,2.1,1.4,2.5,5.8,87.5,37.0,7.0,98.7,163,132,Medium,Average,5,55,10.4,5.4
